sklearn Coefficients
==================================================
Bias Term      : 0.016498
V737           : -0.075786
V738           : 0.011135
V739           : -0.006671
V740           : -0.037209
V741           : -0.059185
V742           : -0.002010
V743           : 0.014627
V744           : -0.011375
V745           : -0.042377
V746           : -0.004190
V747           : -0.009273
V748           : -0.002005
V749           : 0.024924
V750           : 0.001620
V751           : -0.003885
V752           : -0.024397
V753           : 0.005219
V754           : -0.000029
V755           : 0.016687
V756           : 0.028271
V757           : -0.007923
V758           : 0.013880
V759           : 0.007646
V760           : 0.012708
V761           : 0.006503
V762           : -0.033684
V763           : -0.024278
V764           : -0.006602
V765           : 0.065414
V766           : 0.003161
V767           : 0.018469
V768           : 0.033431
V769           : -0.008897
V770           : -0.016903
V771           : -0.011913
V772           : 0.086819
V773           : 0.012840
V774           : 0.017420
V775           : -0.007201
V776           : -0.028423
V777           : 0.001028
V778           : -0.007595
V779           : 0.030527
V780           : 0.031066
V781           : 0.023557
V782           : 0.009488
V783           : -0.000823
V784           : -0.021696
V785           : 0.024115
V786           : 0.003002
V787           : -0.031356
V788           : 0.053856
V789           : -0.009987
V790           : 0.002288
V791           : 0.046116
V792           : -0.025394
V793           : -0.003455
V794           : -0.025486
V795           : -0.010393
V796           : -0.013807
V797           : 0.013032
V798           : -0.013405
V799           : -0.010816
V800           : -0.031177
V801           : 0.019271
V802           : 0.059752
V803           : -0.001546
V804           : 0.005918
V805           : -0.000420
V806           : -0.003828
V807           : 0.053720
V808           : 0.017682
V809           : 0.009702
V810           : -0.009297
V811           : 0.009054
V812           : 0.000477
V813           : 0.002523
V814           : 0.023169
V815           : 0.009081
V816           : 0.017324
V818           : -0.001987
V819           : 0.006045
V820           : 0.023396
V821           : 0.000142
V822           : 0.006248
V823           : 0.024506
V824           : -0.014415
V825           : -0.002808
V826           : -0.008727
V828           : 0.137148
V829           : 0.012125
V830           : 0.018748
V831           : -0.020244
V832           : -0.023876
V833           : -0.007638
V834           : -0.015300
V835           : 0.010078
V836           : -0.007748
V837           : -0.014536
V838           : -0.040338
V839           : 0.014170
V840           : 0.030841
V841           : -0.009199
V842           : -0.002739
V843           : 0.009776
V844           : 0.016317
V845           : -0.016524
V846           : 0.001055
V847           : 0.035818
V848           : -0.037163
V849           : 0.004676
V850           : -0.030546
V851           : -0.014186
V852           : 0.033602
V853           : 0.017239
V854           : -0.011962
V855           : -0.004824
V856           : 0.010658
V857           : -0.015243
V858           : -0.002264
V859           : 0.059623
V860           : 0.013731
V861           : -0.026454
V862           : 0.011676
V863           : -0.006027
V864           : 0.015520
V865           : -0.032360
V866           : -0.016747
V867           : 0.001295
V868           : 0.019332
V869           : 0.016151
V870           : 0.002846
V871           : 0.014838
V872           : 0.019130
V873           : -0.010089
V874           : -0.018154
V875           : 0.004647
V876           : -0.012277
V877           : 0.025395
V878           : 0.004663
V879           : 0.011873
V880           : 0.022441
V881           : -0.025720
V882           : 0.002291
V883           : 0.008432
V884           : -0.011289
V885           : -0.008067
V886           : 0.002273
V887           : 0.030422
V888           : -0.023895
V889           : -0.020863
V890           : 0.028319
V891           : -0.061490
V892           : -0.013887
V893           : 0.024352
