sklearn Coefficients
==================================================
Bias Term      : -0.011369
V1316          : -0.006422
V1317          : 0.023608
V1318          : 0.040787
V1320          : -0.021215
V1322          : 0.012920
V1324          : -0.006169
V1325          : 0.037380
V1327          : -0.039776
V1328          : -0.002403
V1329          : -0.005969
V1330          : 0.006346
V1331          : 0.011939
V1333          : -0.002868
V1334          : -0.033997
V1335          : 0.026463
V1336          : -0.076679
V1337          : -0.015225
V1338          : 0.049946
V1340          : -0.006104
V1341          : -0.020238
V1343          : -0.008179
V1344          : 0.010488
V1345          : -0.048099
V1346          : 0.018611
V1347          : -0.006836
V1348          : 0.001284
V1349          : 0.007616
V1350          : -0.008273
V1351          : 0.101566
V1352          : 0.003090
V1353          : -0.025143
V1354          : 0.018873
V1355          : -0.004621
V1356          : -0.002233
V1357          : 0.002360
V1358          : 0.010673
V1359          : 0.045573
V1361          : -0.006664
V1362          : 0.016670
V1363          : 0.007344
V1364          : 0.032510
V1365          : 0.009570
V1367          : -0.040370
V1368          : 0.005695
V1369          : 0.007503
V1370          : 0.010636
V1371          : 0.032461
V1372          : 0.004330
V1373          : 0.029607
V1374          : 0.091881
V1376          : 0.000928
V1377          : 0.004606
V1378          : -0.010788
V1379          : 0.012398
V1380          : 0.020191
V1381          : 0.002674
V1382          : 0.013971
V1383          : 0.053604
V1384          : 0.012471
V1385          : 0.055778
V1386          : 0.018447
V1387          : -0.017134
V1388          : 0.025017
V1389          : -0.041150
V1390          : -0.004725
V1391          : -0.018137
V1393          : -0.017768
V1394          : -0.015363
V1395          : 0.009081
V1396          : 0.001236
V1397          : -0.016489
V1398          : -0.005206
V1399          : -0.005052
V1401          : 0.012362
V1402          : 0.007999
V1403          : 0.010344
V1404          : -0.001969
V1407          : -0.006637
V1408          : -0.016549
V1409          : -0.000486
V1411          : -0.006274
V1413          : -0.014351
V1414          : 0.015775
V1415          : -0.010934
V1416          : -0.011365
V1417          : -0.004245
V1418          : 0.005192
V1419          : 0.010818
V1421          : 0.009444
V1422          : -0.042830
V1423          : 0.007296
V1425          : 0.009470
V1426          : -0.011449
V1427          : -0.040912
V1429          : -0.009713
V1431          : -0.056931
V1432          : 0.000512
V1433          : -0.011484
V1437          : -0.021221
V1438          : -0.017225
V1439          : 0.029074
V1440          : -0.022230
V1441          : 0.002830
V1445          : 0.029094
V1446          : 0.009173
V1448          : 0.027125
V1449          : -0.004840
V1452          : 0.014934
V1453          : -0.001544
V1454          : 0.018479
V1455          : 0.002759
V1456          : -0.006463
V1457          : -0.004314
V1458          : -0.000316
V1459          : 0.005477
V1460          : -0.001895
V1461          : 0.005012
V1462          : -0.010018
V1464          : 0.028339
V1465          : -0.029919
V1466          : 0.028747
V1467          : 0.021719
V1468          : -0.024118
V1469          : 0.031413
V1470          : 0.004608
V1471          : -0.017950
V1472          : -0.021402
V1474          : -0.038142
V1478          : 0.004770
V1479          : 0.014878
V1480          : 0.001479
V1481          : 0.004265
V1482          : -0.030435
V1483          : 0.006692
V1484          : 0.000931
V1486          : 0.001609
V1487          : 0.072854
V1488          : 0.016317
V1489          : 0.009720
V1491          : -0.006987
V1492          : -0.018366
V1493          : -0.016755
V1494          : -0.048302
V1495          : -0.007566
V1496          : -0.006304
V1497          : 0.001450
V1498          : -0.054618
V1499          : -0.031510
V1501          : -0.037595
V1502          : 0.019647
V1503          : 0.004441
V1504          : -0.000478
V1505          : 0.009835
V1506          : -0.000595
V1507          : 0.050117
V1508          : -0.058203
V1509          : 0.037740
V1510          : -0.053775
V1512          : 0.003686
V1513          : 0.006741
V1514          : 0.039398
V1515          : -0.018571
V1516          : 0.024117
V1517          : -0.024298
V1519          : -0.017647
V1520          : -0.005054
V1521          : 0.014565
V1522          : 0.016903
V1523          : 0.028705
V1524          : 0.029807
V1525          : -0.006214
V1526          : -0.093941
V1527          : -0.013290
V1528          : 0.004522
V1529          : -0.000608
V1531          : -0.024662
V1533          : 0.030434
V1534          : 0.024353
V1535          : 0.021457
V1536          : 0.002361
V1537          : -0.026969
V1538          : -0.009873
V1539          : -0.094348
V1540          : 0.005202
V1541          : -0.053783
V1542          : -0.021010
V1543          : 0.006978
V1544          : -0.002527
V1545          : -0.000624
V1548          : -0.050044
V1549          : 0.011766
V1550          : 0.005068
V1551          : -0.057509
V1553          : -0.024059
V1554          : 0.001926
V1555          : -0.015611
V1556          : -0.003878
V1557          : 0.000259
V1558          : -0.015668
V1559          : -0.067357
V1560          : -0.004335
V1562          : -0.042250
V1564          : -0.005384
V1565          : -0.022016
V1566          : -0.016158
V1567          : 0.001634
V1568          : -0.047581
V1569          : 0.013837
V1570          : 0.009465
V1571          : -0.022391
V1572          : -0.016106
V1573          : -0.009842
V1574          : -0.039829
V1575          : -0.025476
V1576          : 0.007075
V1577          : 0.004588
V1578          : -0.023095
V1580          : 0.042613
V1581          : -0.008643
V1582          : 0.018418
V1583          : 0.006953
V1584          : 0.033753
V1585          : 0.112150
V1586          : 0.001684
V1587          : 0.007832
V1588          : -0.104297
V1589          : 0.009014
V1590          : 0.006645
V1591          : 0.016104
V1592          : 0.004862
V1593          : -0.009590
V1594          : 0.023953
V1595          : 0.000963
V1596          : -0.022616
V1597          : -0.041121
V1598          : -0.032337
V1599          : 0.028209
V1600          : -0.009948
V1601          : -0.038218
V1604          : -0.011527
V1605          : -0.004071
V1606          : 0.038524
V1607          : -0.028071
V1608          : 0.008537
V1609          : 0.009089
V1610          : 0.008337
V1611          : 0.002623
V1613          : 0.000912
V1614          : 0.006391
V1615          : 0.007461
V1616          : -0.024849
V1617          : -0.065652
V1618          : 0.004445
V1619          : -0.024189
V1620          : -0.018897
V1621          : -0.016594
V1622          : -0.030419
V1623          : 0.011403
V1624          : 0.005594
V1625          : -0.001158
V1626          : -0.029655
V1627          : 0.006733
V1628          : 0.042878
V1630          : 0.000704
V1631          : -0.032401
V1633          : -0.001501
V1634          : -0.013484
V1636          : -0.049509
V1637          : -0.074417
V1638          : 0.005837
V1639          : -0.066902
V1640          : 0.008598
V1641          : 0.006316
V1642          : -0.000423
V1643          : -0.007313
V1644          : -0.005888
V1645          : -0.049716
V1646          : -0.133246
V1647          : 0.014434
V1648          : 0.007290
V1649          : -0.020756
V1650          : -0.000060
V1651          : -0.003880
V1652          : -0.002901
V1653          : 0.015739
V1655          : -0.014545
V1656          : 0.030564
V1660          : -0.011015
V1661          : 0.003342
V1662          : 0.005809
V1663          : 0.048075
V1664          : -0.014372
V1666          : 0.018573
V1668          : -0.005149
V1669          : -0.005425
V1670          : -0.002051
V1671          : -0.018687
V1672          : -0.005271
V1673          : 0.053171
V1674          : 0.012727
V1676          : 0.016474
V1677          : -0.010431
V1678          : -0.010847
V1680          : 0.006933
V1681          : -0.018101
V1683          : 0.016162
V1684          : 0.007126
V1685          : -0.020333
V1687          : -0.031828
V1689          : -0.007922
V1690          : 0.090083
V1692          : -0.008928
V1694          : 0.004043
V1695          : -0.014896
V1697          : 0.045400
V1698          : -0.030633
V1699          : -0.056875
V1700          : 0.030426
V1702          : 0.001284
V1703          : 0.016906
V1705          : -0.009339
V1707          : 0.010279
V1708          : 0.009719
V1709          : 0.010251
V1710          : -0.013397
V1711          : -0.013118
V1712          : -0.025767
V1713          : -0.018006
V1714          : -0.033941
V1715          : 0.016294
V1716          : 0.004355
V1717          : -0.005258
V1718          : -0.022930
V1719          : 0.028139
V1721          : -0.068452
